,Bank Name,City,State,Cert,Acquiring Institution,Closing Date,Fund
41,Allendale County Bank,Fairfax,SC,15062,Palmetto State Bank,25-Apr-14,10497
42,Vantage Point Bank,Horsham,PA,58531,First Choice Bank,28-Feb-14,10496
43,"Millennium Bank, National Association",Sterling,VA,35096,WashingtonFirst Bank,28-Feb-14,10495
44,Syringa Bank,Boise,ID,34296,Sunwest Bank,31-Jan-14,10494
45,The Bank of Union,El Reno,OK,17967,BancFirst,24-Jan-14,10493
46,DuPage National Bank,West Chicago,IL,5732,Republic Bank of Chicago,17-Jan-14,10492
47,"Texas Community Bank, National Association",The Woodlands,TX,57431,"Spirit of Texas Bank, SSB",13-Dec-13,10491
48,Bank of Jackson County,Graceville,FL,14794,First Federal Bank of Florida,30-Oct-13,10490
49,First National Bank also operating as The National Bank of El Paso,Edinburg,TX,14318,PlainsCapital Bank,13-Sep-13,10488
50,The Community's Bank,Bridgeport,CT,57041,No Acquirer,13-Sep-13,10489
51,Sunrise Bank of Arizona,Phoenix,AZ,34707,"First Fidelity Bank, National Association",23-Aug-13,10487
52,Community South Bank,Parsons,TN,19849,"CB&S Bank, Inc.",23-Aug-13,10486
53,Bank of Wausau,Wausau,WI,35016,Nicolet National Bank,9-Aug-13,10485
54,First Community Bank of Southwest Florida (also operating as Community Bank of Cape Coral),Fort Myers,FL,34943,C1 Bank,2-Aug-13,10484
55,Mountain National Bank,Sevierville,TN,34789,"First Tennessee Bank, National Association",7-Jun-13,10483
56,1st Commerce Bank,North Las Vegas,NV,58358,Plaza Bank,6-Jun-13,10482
57,Banks of Wisconsin d/b/a Bank of Kenosha,Kenosha,WI,35386,"North Shore Bank, FSB",31-May-13,10478
58,Central Arizona Bank,Scottsdale,AZ,34527,Western State Bank,14-May-13,10479
59,Sunrise Bank,Valdosta,GA,58185,Synovus Bank,10-May-13,10481
60,Pisgah Community Bank,Asheville,NC,58701,"Capital Bank, N.A.",10-May-13,10480
61,Douglas County Bank,Douglasville,GA,21649,Hamilton State Bank,26-Apr-13,10476
62,Parkway Bank,Lenoir,NC,57158,"CertusBank, National Association",26-Apr-13,10477
63,Chipola Community Bank,Marianna,FL,58034,First Federal Bank of Florida,19-Apr-13,10473
64,Heritage Bank of North Florida,Orange Park,FL,26680,FirstAtlantic Bank,19-Apr-13,10475
65,First Federal Bank,Lexington,KY,29594,Your Community Bank,19-Apr-13,10474
66,Gold Canyon Bank,Gold Canyon,AZ,58066,"First Scottsdale Bank, National Association",5-Apr-13,10472
67,Frontier Bank,LaGrange,GA,16431,HeritageBank of the South,8-Mar-13,10471
68,Covenant Bank,Chicago,IL,22476,Liberty Bank and Trust Company,15-Feb-13,10470
69,1st Regents Bank,Andover,MN,57157,First Minnesota Bank,18-Jan-13,10469
70,Westside Community Bank,University Place,WA,33997,Sunwest Bank,11-Jan-13,10468
71,Community Bank of the Ozarks,Sunrise Beach,MO,27331,Bank of Sullivan,14-Dec-12,10467
72,Hometown Community Bank,Braselton,GA,57928,"CertusBank, National Association",16-Nov-12,10466
73,Citizens First National Bank,Princeton,IL,3731,Heartland Bank and Trust Company,2-Nov-12,10464
74,Heritage Bank of Florida,Lutz,FL,35009,Centennial Bank,2-Nov-12,10465
75,NOVA Bank,Berwyn,PA,27148,No Acquirer,26-Oct-12,10463
76,Excel Bank,Sedalia,MO,19189,Simmons First National Bank,19-Oct-12,10460
77,First East Side Savings Bank,Tamarac,FL,28144,Stearns Bank N.A.,19-Oct-12,10461
78,GulfSouth Private Bank,Destin,FL,58073,SmartBank,19-Oct-12,10462
79,First United Bank,Crete,IL,20685,"Old Plank Trail Community Bank, National Association",28-Sep-12,10459
80,Truman Bank,St. Louis,MO,27316,Simmons First National Bank,14-Sep-12,10458
81,First Commercial Bank,Bloomington,MN,35246,Republic Bank & Trust Company,7-Sep-12,10457
82,Waukegan Savings Bank,Waukegan,IL,28243,First Midwest Bank,3-Aug-12,10456
83,Jasper Banking Company,Jasper,GA,16240,Stearns Bank N.A.,27-Jul-12,10455
84,Second Federal Savings and Loan Association of Chicago,Chicago,IL,27986,Hinsdale Bank & Trust Company,20-Jul-12,10453
85,Heartland Bank,Leawood,KS,1361,Metcalf Bank,20-Jul-12,10452
86,First Cherokee State Bank,Woodstock,GA,32711,Community & Southern Bank,20-Jul-12,10450
87,Georgia Trust Bank,Buford,GA,57847,Community & Southern Bank,20-Jul-12,10451
88,The Royal Palm Bank of Florida,Naples,FL,57096,First National Bank of the Gulf Coast,20-Jul-12,10454
89,Glasgow Savings Bank,Glasgow,MO,1056,Regional Missouri Bank,13-Jul-12,10449
90,Montgomery Bank & Trust,Ailey,GA,19498,Ameris Bank,6-Jul-12,10448
91,The Farmers Bank of Lynchburg,Lynchburg,TN,1690,Clayton Bank and Trust,15-Jun-12,10447
92,Security Exchange Bank,Marietta,GA,35299,Fidelity Bank,15-Jun-12,10446
93,Putnam State Bank,Palatka,FL,27405,Harbor Community Bank,15-Jun-12,10445
94,Waccamaw Bank,Whiteville,NC,34515,First Community Bank,8-Jun-12,10444
95,Farmers' and Traders' State Bank,Shabbona,IL,9257,First State Bank,8-Jun-12,10442
96,Carolina Federal Savings Bank,Charleston,SC,35372,Bank of North Carolina,8-Jun-12,10441
97,First Capital Bank,Kingfisher,OK,416,F & M Bank,8-Jun-12,10443
98,"Alabama Trust Bank, National Association",Sylacauga,AL,35224,Southern States Bank,18-May-12,10440
99,"Security Bank, National Association",North Lauderdale,FL,23156,Banesco USA,4-May-12,10439
100,Palm Desert National Bank,Palm Desert,CA,23632,Pacific Premier Bank,27-Apr-12,10437
101,Plantation Federal Bank,Pawleys Island,SC,32503,First Federal Bank,27-Apr-12,10438
102,"Inter Savings Bank, fsb D/B/A InterBank, fsb",Maple Grove,MN,31495,Great Southern Bank,27-Apr-12,10436
103,HarVest Bank of Maryland,Gaithersburg,MD,57766,Sonabank,27-Apr-12,10435
104,Bank of the Eastern Shore,Cambridge,MD,26759,No Acquirer,27-Apr-12,10434
105,"Fort Lee Federal Savings Bank, FSB",Fort Lee,NJ,35527,Alma Bank,20-Apr-12,10433
106,Fidelity Bank,Dearborn,MI,33883,The Huntington National Bank,30-Mar-12,10432
107,Premier Bank,Wilmette,IL,35419,International Bank of Chicago,23-Mar-12,10431
108,Covenant Bank & Trust,Rock Spring,GA,58068,"Stearns Bank, N.A.",23-Mar-12,10430
109,New City Bank,Chicago,IL,57597,No Acquirer,9-Mar-12,10429
110,Global Commerce Bank,Doraville,GA,34046,Metro City Bank,2-Mar-12,10428
111,Home Savings of America,Little Falls,MN,29178,No Acquirer,24-Feb-12,10427
112,Central Bank of Georgia,Ellaville,GA,5687,Ameris Bank,24-Feb-12,10426
113,SCB Bank,Shelbyville,IN,29761,"First Merchants Bank, National Association",10-Feb-12,10425
114,Charter National Bank and Trust,Hoffman Estates,IL,23187,"Barrington Bank & Trust Company, National Association",10-Feb-12,10424
115,BankEast,Knoxville,TN,19869,"U.S. Bank, N.A.",27-Jan-12,10420
116,Patriot Bank Minnesota,Forest Lake,MN,34823,First Resource Bank,27-Jan-12,10422
117,Tennessee Commerce Bank,Franklin,TN,35296,Republic Bank & Trust Company,27-Jan-12,10423
118,First Guaranty Bank and Trust Company of Jacksonville,Jacksonville,FL,16579,"CenterState Bank of Florida, N.A.",27-Jan-12,10421
119,American Eagle Savings Bank,Boothwyn,PA,31581,"Capital Bank, N.A.",20-Jan-12,10417
120,The First State Bank,Stockbridge,GA,19252,Hamilton State Bank,20-Jan-12,10419
121,Central Florida State Bank,Belleview,FL,57186,"CenterState Bank of Florida, N.A.",20-Jan-12,10418
122,Western National Bank,Phoenix,AZ,57917,Washington Federal,16-Dec-11,10416
123,Premier Community Bank of the Emerald Coast,Crestview,FL,58343,Summit Bank,16-Dec-11,10415
124,Central Progressive Bank,Lacombe,LA,19657,First NBC Bank,18-Nov-11,10413
125,Polk County Bank,Johnston,IA,14194,Grinnell State Bank,18-Nov-11,10414
126,Community Bank of Rockmart,Rockmart,GA,57860,Century Bank of Georgia,10-Nov-11,10412
127,SunFirst Bank,Saint George,UT,57087,Cache Valley Bank,4-Nov-11,10411
128,"Mid City Bank, Inc.",Omaha,NE,19397,Premier Bank,4-Nov-11,10410
129,All American Bank,Des Plaines,IL,57759,International Bank of Chicago,28-Oct-11,10409
130,Community Banks of Colorado,Greenwood Village,CO,21132,"Bank Midwest, N.A.",21-Oct-11,10405
131,Community Capital Bank,Jonesboro,GA,57036,State Bank and Trust Company,21-Oct-11,10406
132,Decatur First Bank,Decatur,GA,34392,Fidelity Bank,21-Oct-11,10407
133,Old Harbor Bank,Clearwater,FL,57537,1st United Bank,21-Oct-11,10408
134,Country Bank,Aledo,IL,35395,Blackhawk Bank & Trust,14-Oct-11,10402
135,First State Bank,Cranford,NJ,58046,Northfield Bank,14-Oct-11,10403
136,"Blue Ridge Savings Bank, Inc.",Asheville,NC,32347,Bank of North Carolina,14-Oct-11,10401
137,Piedmont Community Bank,Gray,GA,57256,State Bank and Trust Company,14-Oct-11,10404
138,Sun Security Bank,Ellington,MO,20115,Great Southern Bank,7-Oct-11,10400
139,The RiverBank,Wyoming,MN,10216,Central Bank,7-Oct-11,10399
140,First International Bank,Plano,TX,33513,American First National Bank,30-Sep-11,10398
141,Citizens Bank of Northern California,Nevada City,CA,33983,Tri Counties Bank,23-Sep-11,10397
142,Bank of the Commonwealth,Norfolk,VA,20408,Southern Bank and Trust Company,23-Sep-11,10396
143,The First National Bank of Florida,Milton,FL,25155,CharterBank,9-Sep-11,10395
144,CreekSide Bank,Woodstock,GA,58226,Georgia Commerce Bank,2-Sep-11,10393
145,Patriot Bank of Georgia,Cumming,GA,58273,Georgia Commerce Bank,2-Sep-11,10394
146,First Choice Bank,Geneva,IL,57212,Inland Bank & Trust,19-Aug-11,10390
147,First Southern National Bank,Statesboro,GA,57239,Heritage Bank of the South,19-Aug-11,10391
148,Lydian Private Bank,Palm Beach,FL,35356,"Sabadell United Bank, N.A.",19-Aug-11,10392
149,Public Savings Bank,Huntingdon Valley,PA,34130,"Capital Bank, N.A.",18-Aug-11,10389
150,The First National Bank of Olathe,Olathe,KS,4744,Enterprise Bank & Trust,12-Aug-11,10388
